dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,rbf_reference,-1,True,validation,0.2809325888675166,0.0,0.4053512280806899,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,rbf_reference,-1,True,test,0.3612658719901438,0.0,0.4053512280806899,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,0.28535180246151176,0.057514624404219304,0.42808865918777883,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m0,0,False,test,0.3506118214053914,0.061047650142198574,0.42808865918777883,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,0.2820960175317978,0.04519596525149152,0.4563140741083771,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m1,1,False,test,0.3479209175305412,0.046597692895951705,0.4563140741083771,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,0.2872514706492815,0.05569827140575894,0.38480644091032445,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m2,2,False,test,0.3485542102265748,0.051095800037730836,0.38480644091032445,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,0.2764840449284012,0.05779338088910802,0.5461699757725,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m3,3,False,test,0.3610008710960408,0.05517815594949689,0.5461699757725,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,0.2836552030149927,0.05926621600885229,0.41888457303866744,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m4,4,False,test,0.3439172256779818,0.0555493870028444,0.41888457303866744,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,0.27824525039008835,0.05416348683071884,0.4872839539311826,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m5,5,False,test,0.34511991462258007,0.05533335537155878,0.4872839539311826,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,0.29154624915172767,0.05416300498926052,0.39441580488346517,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m6,6,False,test,0.3516983709883493,0.05281547563421081,0.39441580488346517,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,0.2859685288264275,0.05454087981748167,0.3335778641048819,68.46337890625
phoneme,classification,controlled_mlp,2,AdamW,adamw,default,orthogonal_all__m7,7,False,test,0.3487533583948632,0.05432333539524886,0.3335778641048819,68.46337890625
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,0.27809630201097885,0.0,0.6496608748566359,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,rbf_reference,-1,True,test,0.3645041534981489,0.0,0.6496608748566359,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,0.28030692669953683,0.0489609043967532,0.6739208181388676,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,0.35707152381371704,0.04852474554229413,0.6739208181388676,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,0.2772611186362494,0.04037702454004371,0.6552592278458178,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,0.3526480231610305,0.043116769176395814,0.6552592278458178,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,validation,0.2898002718782976,0.051006617985702725,0.5921657090075314,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,test,0.34365757284780996,0.04932438599675972,0.5921657090075314,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,validation,0.2748745204750981,0.03582827020434046,0.6776325879618526,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,test,0.3646033921798148,0.031022279503378197,0.6776325879618526,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,validation,0.2751826985653877,0.03720649260318636,0.6274222850333899,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,test,0.35715709499911846,0.03586844040053137,0.6274222850333899,68.470703125
phoneme,classification,controlled_mlp,2,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,validation,0.28011417757961743,0.046153822800846254,0.5618019599933177,68.470703125
