dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
bike-sharing,regression,tabicl_v2,0,Raw,representation,rbf_reference,-1,True,validation,67.53398141295303,0.0,0.2398629360832274,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,rbf_reference,-1,True,test,70.53192975681488,0.0,0.2398629360832274,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m0,0,False,validation,71.78763661761056,0.21737165022042287,0.2540709180757403,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m0,0,False,test,79.50721772782246,0.20011366210152698,0.2540709180757403,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m1,1,False,validation,73.89450918768088,0.23687519079622285,0.2523006598930806,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m1,1,False,test,81.65524156002076,0.22187999070672518,0.2523006598930806,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m2,2,False,validation,76.39397006200863,0.25857625510719384,0.2473696179222315,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m2,2,False,test,83.95358555540504,0.22907497695379456,0.2473696179222315,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m3,3,False,validation,78.15476193121886,0.2488102677737292,0.2562918348703533,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m3,3,False,test,82.48876697628184,0.25221358513663383,0.2562918348703533,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m4,4,False,validation,64.56615272010745,0.21655361527970005,0.2678871110547334,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m4,4,False,test,75.19033809757914,0.1835215262274332,0.2678871110547334,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m5,5,False,validation,73.77073390473994,0.2560732832737894,0.2485784401651471,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m5,5,False,test,77.77255050430367,0.2254220605684222,0.2485784401651471,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m6,6,False,validation,69.74934295793877,0.23150292827023136,0.2466019298881292,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m6,6,False,test,71.8937713294574,0.1811423243286963,0.2466019298881292,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m7,7,False,validation,66.74167785147702,0.21164174762033597,0.2498316280543804,False
bike-sharing,regression,tabicl_v2,0,Raw,representation,orthogonal_all__m7,7,False,test,72.09728335107735,0.19601254870399526,0.2498316280543804,False
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,61.0167333958702,0.0,0.3098455420695245,False
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,66.0770712867766,0.0,0.3098455420695245,False
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,61.0167333958702,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,66.0770712867766,0.0,0.0,True
bike-sharing,regression,tabicl_v2,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,67.40293993531365,0.0,0.34159981296397746,False
bike-sharing,regression,tabicl_v2,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,76.33338617142907,0.0,0.34159981296397746,False
