panel,dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,rbf_reference,-1,True,validation,0.2058838158678075,0.0,0.6882383991032839
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,rbf_reference,-1,True,test,0.25662036942079414,0.0,0.6882383991032839
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m0,0,False,validation,0.20039208540154796,0.032952007392120015,0.7631580501329154
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m0,0,False,test,0.26322898114147686,0.03189573574270677,0.7631580501329154
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m1,1,False,validation,0.2122612974575096,0.02641203830476309,0.3976931900251657
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m1,1,False,test,0.26044354206699954,0.023736760178044006,0.3976931900251657
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m2,2,False,validation,0.2253399070384603,0.0258166048392033,0.6785240171011537
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m2,2,False,test,0.26546336773856105,0.02788009928623269,0.6785240171011537
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m3,3,False,validation,0.2151018245963545,0.02660849673641083,0.3980099279433489
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m3,3,False,test,0.25587382553808335,0.02832322033574462,0.3980099279433489
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m4,4,False,validation,0.19524799678910124,0.02401789274644453,0.6140024869237095
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m4,4,False,test,0.25408422678817216,0.02644583213030984,0.6140024869237095
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m5,5,False,validation,0.20283933348196437,0.03009924233310855,0.6532709719613194
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m5,5,False,test,0.25431897628630706,0.03162435798262109,0.6532709719613194
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m6,6,False,validation,0.1968583618191575,0.029215334356475536,1.1527652109507471
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m6,6,False,test,0.2565556123015619,0.02763160382161533,1.1527652109507471
NEW_prospective,satimage,classification,tabm_d,0,Raw,baseline,orthogonal_all__m7,7,False,validation,0.1999033313160819,0.0263153044064487,0.3384807768743485
