dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
house_16H,regression,tabm_d,0,Raw,representation,rbf_reference,-1,True,validation,41479.39507019943,0.0,0.634066651109606,False
house_16H,regression,tabm_d,0,Raw,representation,rbf_reference,-1,True,test,32600.462808318527,0.0,0.634066651109606,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m0,0,False,validation,43465.93800562339,0.17279086138347546,0.6209796739276499,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m0,0,False,test,33489.99378320842,0.21805681690879902,0.6209796739276499,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m1,1,False,validation,44069.08709527776,0.22293639102141646,0.4880172880366444,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m1,1,False,test,33356.20769349644,0.24859695239925686,0.4880172880366444,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m2,2,False,validation,44611.017862545654,0.213545154580841,0.448720633983612,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m2,2,False,test,33289.19361491691,0.2264647184357986,0.448720633983612,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m3,3,False,validation,44336.78191522527,0.19643184813443013,0.4696280229836702,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m3,3,False,test,33324.383901450004,0.25101031232589277,0.4696280229836702,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m4,4,False,validation,44189.86171005139,0.22410485730071286,0.5312664359807968,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m4,4,False,test,33175.89916005808,0.2577211071900977,0.5312664359807968,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m5,5,False,validation,44250.636982030665,0.21339668451914567,0.468712184112519,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m5,5,False,test,32860.3472567909,0.24177302226909742,0.468712184112519,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m6,6,False,validation,46819.419497821335,0.28605669673823897,0.4925746438093483,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m6,6,False,test,34737.80989795067,0.2878652377465727,0.4925746438093483,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m7,7,False,validation,43106.71619238541,0.2022329672419087,0.6347663248889148,False
house_16H,regression,tabm_d,0,Raw,representation,orthogonal_all__m7,7,False,test,32665.14013078298,0.24881969265934722,0.6347663248889148,False
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,42746.26973374364,0.0,0.4227028221357614,False
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,34507.38930129526,0.0,0.4227028221357614,False
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,42746.26973374364,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,34507.38930129526,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,42746.26973374364,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,34507.38930129526,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,42746.26973374364,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,34507.38930129526,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,42746.26973374364,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,34507.38930129526,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,42746.26973374364,0.0,0.0,True
house_16H,regression,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,34507.38930129526,0.0,0.0,True
