dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
credit-g,classification,tabpfn_2_6,2,Raw,representation,rbf_reference,-1,True,validation,0.4442900589076042,0.0,0.5643119579181075,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,rbf_reference,-1,True,test,0.48055582044170414,0.0,0.5643119579181075,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m0,0,False,validation,0.44224856763935627,0.04560941791189742,1.1318118679337204,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m0,0,False,test,0.4874351209761164,0.04326699129633009,1.1318118679337204,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m1,1,False,validation,0.4430180067496424,0.04493149455348937,1.4224961649160832,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m1,1,False,test,0.48801528638212177,0.0446119664811247,1.4224961649160832,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m2,2,False,validation,0.4475854247598997,0.048426431094694015,0.1995760009158402,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m2,2,False,test,0.4876520468552989,0.04455050480531594,0.1995760009158402,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m3,3,False,validation,0.4482819586450349,0.05221548570845178,1.0406306888908148,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m3,3,False,test,0.4822407825021846,0.05607039328844585,1.0406306888908148,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m4,4,False,validation,0.4353303303632128,0.044941636765273636,1.0340250730514526,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m4,4,False,test,0.4890640208638587,0.045377252604436855,1.0340250730514526,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m5,5,False,validation,0.44375112306254205,0.04302794744482829,2.042240209877491,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m5,5,False,test,0.48321729272384195,0.044594277036024255,2.042240209877491,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m6,6,False,validation,0.44652138138658215,0.05222412383351188,1.425699383020401,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m6,6,False,test,0.4925312018203434,0.05006528040904475,1.425699383020401,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m7,7,False,validation,0.44133192373546654,0.045665787404440675,1.3514774329960346,False
credit-g,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m7,7,False,test,0.4811856615820389,0.04491568167047168,1.3514774329960346,False
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.4230781421928051,0.0,0.2638566580135375,False
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.5028184056956765,0.0,0.2638566580135375,False
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,0.4230781421928051,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,0.5028184056956765,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,0.46087575496446254,0.0,0.9769204759504646,False
credit-g,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,0.4988155276120564,0.0,0.9769204759504646,False
credit-g,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,0.46087575496446254,0.0,0.0,True
credit-g,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,0.4988155276120564,0.0,0.0,True
