dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
phoneme,classification,tabpfn_2_6,2,Raw,representation,rbf_reference,-1,True,validation,0.2719580784582003,0.0,3.636683647055179,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,rbf_reference,-1,True,test,0.27601794489222264,0.0,3.636683647055179,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m0,0,False,validation,0.2849327443042201,0.09095257475653774,1.7349967260379344,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m0,0,False,test,0.28756193375145533,0.10398973428839085,1.7349967260379344,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m1,1,False,validation,0.29075086304318454,0.09920602173120532,2.838222609134391,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m1,1,False,test,0.2832783238096267,0.08191556636572278,2.838222609134391,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m2,2,False,validation,0.27027992363280573,0.09865413884079831,1.4666245989501476,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m2,2,False,test,0.29553090669773213,0.10170805787316047,1.4666245989501476,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m3,3,False,validation,0.24573937759459427,0.0955065593411676,1.4872735189273951,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m3,3,False,test,0.27052163292399856,0.09092303935545823,1.4872735189273951,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m4,4,False,validation,0.28240031064803894,0.10525959456165729,3.571864668047056,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m4,4,False,test,0.28287647198770294,0.10443269280133165,3.571864668047056,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m5,5,False,validation,0.28146893232008896,0.09675848033438277,4.880857462994754,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m5,5,False,test,0.28329604341898107,0.09038568981611647,4.880857462994754,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m6,6,False,validation,0.2664224201937523,0.09919489251128683,0.8793895549606532,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m6,6,False,test,0.288351836152927,0.1058582932165844,0.8793895549606532,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m7,7,False,validation,0.26037384658025475,0.10044236627875135,1.4300314309075477,False
phoneme,classification,tabpfn_2_6,2,Raw,representation,orthogonal_all__m7,7,False,test,0.29630947632996585,0.10132529196919056,1.4300314309075477,False
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.2593301722060118,0.0,0.21441298606805503,False
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.28745381287000404,0.0,0.21441298606805503,False
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,0.2593301722060118,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,0.28745381287000404,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,0.2761196226644277,0.0,0.2582277609035373,False
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,0.27514771838100205,0.0,0.2582277609035373,False
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m3,3,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m4,4,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m5,5,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m6,6,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,validation,0.2761196226644277,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m7,7,False,test,0.27514771838100205,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,0.2777771618051968,0.0,1.482813460053876,False
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,0.2711177640722354,0.0,1.482813460053876,False
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,0.2777771618051968,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,0.2711177640722354,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,0.2777771618051968,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,test,0.2711177640722354,0.0,0.0,True
phoneme,classification,tabpfn_2_6,2,GramAnchor-m8,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,validation,0.2777771618051968,0.0,0.0,True
