role,path,bytes,sha256,git_blob_sha1,repository_commit,experiment_protocol_freeze_commit
split and target-encoding implementation,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/basis_dependence_confirmation/src/basis_dependence.py,43119,2ec5b12375038735242f3886beaf351327727edd38462208354239f589dcab1c,6e6fad281428f327a6f7ec6af648bd28652fc9f2,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
frozen finalists,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/configs/GUARDED_FINALISTS.json,7421,6c01ba331417454a3907707d19abf937d593b6e96fa9de909de2cf01bab144dc,7f9832e127846d95470c2819a78635da69a70976,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
locked prospective panel,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/configs/GUARDED_PROSPECTIVE_PANEL.json,3470,4d4487c93fa689674083768014a2a64bcbd81e0019331eee4f2c032327c1c522,33380fd6fc1edb0484de4363acbc840fecaed660,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
locked protocol,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/configs/GUARDED_PROTOCOL.json,6375,92fbb3c79fb9be7e5fe3dfb964791d39645871f4b2496089ed61995844c45f77,b535bcb03aa05a21cf11b2e9c5a66e20dff9114d,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
prospective loader and metric imports,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/guarded_basis/common.py,20592,c48b59b996f45025854a739ad6147b63cc2cd9dd4de55ca3acdfd86aeaf44c26,248d42b8ca9ce71a928f23587552b9e4aaa0b02d,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
final experiment provenance,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/results/processed/final_provenance.json,1123,05e3308aaaa9bdf1a8a45f2f40c0493e70df5dac2d3da0514fca133b600413ef,217861f7f9614f670fb4157a514098edea2f6e8a,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
reported embedding cells,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/results/processed/prospective_embedding_cells.csv,365330,d7b9cca0eca5433c035685375af3f5bf1af574afad74c0a5b753640d3edda7fc,92589d535be50f9ae2a14b19d03202ef3a05d521,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
reported embedding summary,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/results/processed/prospective_embedding_summary.csv,1190,fb8bba77f1d6ebd6eff7321df050db4335c22622a374d120c6b4e890ed3cd9e8,1d896c4161c69340443ff1440adeeffa8abfa38d,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
reported embedding units,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/results/processed/prospective_embedding_units.csv,27561,428e0064298ddd5699f3171c9e30be239a8ecb688dc28f9ef96f48a83d89ce80,8e27c470c07397ffb245aab13c6f6aaba22d9899,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
reported general cells,/home/byunhanjoon/byunhanjoon.github.io/experiments/road-to-iclr-day-09/guarded_basis_control/results/processed/prospective_general_cells.csv,1149547,69b3d87f3c34cd6da844e7176b78f0d87e77df414526a199d17d35707281b3ac,ce6befed0cc006b197c46732246b4f7350722160,f7c9357e48b1ca8c1ecd9c320bb17fffd0893472,0c456660ae9a87aab7932b569e1954b0ee1d25fe
