dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
phoneme,classification,tabm_d,0,AdamW,adamw,default,rbf_reference,-1,True,validation,0.31218793868664035,0.0,0.3279111001174897,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,rbf_reference,-1,True,test,0.32947710892966187,0.0,0.3279111001174897,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m0,0,False,validation,0.30435548965246495,0.0370654654817339,0.3462226470001042,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m0,0,False,test,0.32807911046451177,0.03650761596862677,0.3462226470001042,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m1,1,False,validation,0.3027532729247431,0.03585072339449056,0.3510064040310681,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m1,1,False,test,0.3278953397518832,0.03558940017116769,0.3510064040310681,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m2,2,False,validation,0.3042563716231779,0.036083389269322204,0.32780763297341764,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m2,2,False,test,0.32985683598774856,0.03935750576422648,0.32780763297341764,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m3,3,False,validation,0.30162162070463583,0.03505413466419211,0.29211056395433843,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m3,3,False,test,0.3266675182849551,0.03585188399417399,0.29211056395433843,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m4,4,False,validation,0.30399945784216675,0.03128410542711922,0.4062544971238822,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m4,4,False,test,0.3280995560793932,0.03459836427198902,0.4062544971238822,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m5,5,False,validation,0.30714475022122856,0.030326249255372018,0.3442777059972286,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m5,5,False,test,0.33157706205362647,0.033870413247804536,0.3442777059972286,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m6,6,False,validation,0.30677093581047704,0.029567577354597512,0.35210213297978044,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m6,6,False,test,0.32870510029110517,0.033582600354314686,0.35210213297978044,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,0.30318823655310895,0.03538336806959686,0.3755463529378176,118.10791015625
phoneme,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m7,7,False,test,0.3281556379177467,0.03777233538140265,0.3755463529378176,118.10791015625
phoneme,classification,tabm_d,0,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,0.3138518560101179,0.0,0.43207279313355684,118.115234375
phoneme,classification,tabm_d,0,BlockAdam,block_adam,default,rbf_reference,-1,True,test,0.3312432159591817,0.0,0.43207279313355684,118.115234375
phoneme,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,0.30834400403393303,0.025880983975427922,0.4226618849206716,118.115234375
phoneme,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,0.32701449619960404,0.025372062379630023,0.4226618849206716,118.115234375
phoneme,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,0.30604163388463185,0.023239290758215198,0.41894952207803726,118.115234375
phoneme,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,0.3286655981302473,0.023732997104676426,0.41894952207803726,118.115234375
