dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
credit-g,classification,controlled_mlp,0,Raw,representation,rbf_reference,-1,True,validation,0.478775969711139,0.0,0.4788472908549011,False
credit-g,classification,controlled_mlp,0,Raw,representation,rbf_reference,-1,True,test,0.5118159942199334,0.0,0.4788472908549011,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m0,0,False,validation,0.4771800091175472,0.02904850016556309,0.6052470281720161,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m0,0,False,test,0.510625653015299,0.02946291313554834,0.6052470281720161,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m1,1,False,validation,0.48533168933778353,0.02725547721865158,0.5566275601740927,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m1,1,False,test,0.506987010735824,0.024268533461385414,0.5566275601740927,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m2,2,False,validation,0.47987510972137626,0.024327901196371664,0.447144177975133,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m2,2,False,test,0.5131235479501324,0.020954264767095953,0.447144177975133,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m3,3,False,validation,0.48654147324043856,0.05184789552205683,0.5630769059062004,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m3,3,False,test,0.5327193298281832,0.04782888982026549,0.5630769059062004,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m4,4,False,validation,0.47804486130380236,0.025903398240614717,0.3936147629283368,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m4,4,False,test,0.5104972332836293,0.02533023719263478,0.3936147629283368,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m5,5,False,validation,0.4805404646404675,0.02425110732506188,0.5076074891258031,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m5,5,False,test,0.5081239691853351,0.022197847917002647,0.5076074891258031,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m6,6,False,validation,0.4854180568494507,0.025131837581371157,0.5656121659558266,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m6,6,False,test,0.5086407501428704,0.026996697502361427,0.5656121659558266,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m7,7,False,validation,0.4727886856210851,0.025422210424685537,0.5339714779984206,False
credit-g,classification,controlled_mlp,0,Raw,representation,orthogonal_all__m7,7,False,test,0.5090873337856473,0.02796049039800391,0.5339714779984206,False
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.4701259667381942,0.0,0.14985755481757224,False
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.48040502926978723,0.0,0.14985755481757224,False
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.4701259667381942,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.48040502926978723,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.4701259667381942,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.48040502926978723,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.4701259667381942,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.48040502926978723,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.4701259667381942,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.48040502926978723,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.4701259667381942,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.48040502926978723,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,0.4701259667381942,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,0.48040502926978723,0.0,0.0,True
credit-g,classification,controlled_mlp,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,0.4701259667381942,0.0,0.0,True
