dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,selected_lr_multiplier,selected_learning_rate,task_error,disagreement,fit_seconds
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,validation,2.0,0.004,0.3008538538033363,0.0,0.2889821860007942
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,rbf_reference,-1,True,test,2.0,0.004,0.3268652137356563,0.0,0.2889821860007942
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,validation,2.0,0.004,0.28210140887565044,0.05791797876300219,0.25568267796188593
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m0,0,False,test,2.0,0.004,0.32720155422208214,0.053060749864214586,0.25568267796188593
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,validation,2.0,0.004,0.2839940383189944,0.058371780708181,0.28447805088944733
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m1,1,False,test,2.0,0.004,0.3325201174196021,0.05516639435610575,0.28447805088944733
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,validation,2.0,0.004,0.2808543743270688,0.05669058046851946,0.3016667019110173
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m2,2,False,test,2.0,0.004,0.3325890876305658,0.054850208384198254,0.3016667019110173
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,validation,2.0,0.004,0.2929364098179914,0.04593794085628531,0.2649336908943951
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m3,3,False,test,2.0,0.004,0.32244922887981675,0.0424792430721901,0.2649336908943951
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,validation,2.0,0.004,0.3015587447027341,0.04328333142252683,0.24039177410304546
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m4,4,False,test,2.0,0.004,0.32602886065741243,0.04025068984693345,0.24039177410304546
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,validation,2.0,0.004,0.3028248678787193,0.03775373439100948,0.22983854706399143
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m5,5,False,test,2.0,0.004,0.32713295133861064,0.038130605272813325,0.22983854706399143
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,validation,2.0,0.004,0.2837248353354315,0.05925453734522638,0.2933498350903392
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m6,6,False,test,2.0,0.004,0.3316212526911666,0.055908830986988296,0.2933498350903392
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,validation,2.0,0.004,0.2926050248810937,0.04919493610805868,0.279129384085536
phoneme,classification,tabm_d,0,AdamW,optimizer_equal_hpo,orthogonal_all__m7,7,False,test,2.0,0.004,0.32910408548622194,0.046967877833926974,0.279129384085536
