dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
credit-g,classification,catboost,0,Raw,representation,rbf_reference,-1,True,validation,0.45385287533064966,0.0,0.439759218133986,False
credit-g,classification,catboost,0,Raw,representation,rbf_reference,-1,True,test,0.4698787101436025,0.0,0.439759218133986,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m0,0,False,validation,0.4526494567770477,0.09025694235909076,0.3754699330311268,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m0,0,False,test,0.4683332463774104,0.07636670836407773,0.3754699330311268,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m1,1,False,validation,0.4610906195426715,0.08899587732427343,0.484591940883547,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m1,1,False,test,0.47881893557469724,0.08057732252087173,0.484591940883547,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m2,2,False,validation,0.462942515088951,0.09270138258809792,0.367699866881594,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m2,2,False,test,0.4926376221275345,0.08182632654780267,0.367699866881594,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m3,3,False,validation,0.4600826292696537,0.08541424372714732,0.3548415759578347,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m3,3,False,test,0.4925631601195393,0.08346331695719092,0.3548415759578347,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m4,4,False,validation,0.4498775564286195,0.09060812627886787,0.4775892398320138,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m4,4,False,test,0.4858273604247665,0.08773292126612757,0.4775892398320138,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m5,5,False,validation,0.4706461998275918,0.08832292331404995,0.4400454389397055,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m5,5,False,test,0.4709161577196882,0.08544650068084957,0.4400454389397055,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m6,6,False,validation,0.45289089248476744,0.08584776236244238,0.388676730915904,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m6,6,False,test,0.47578364357478825,0.08383410145120121,0.388676730915904,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m7,7,False,validation,0.4505177925666127,0.09818269253461151,0.4264271019492298,False
credit-g,classification,catboost,0,Raw,representation,orthogonal_all__m7,7,False,test,0.49305219033044523,0.09661552294976226,0.4264271019492298,False
credit-g,classification,catboost,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.44812370788231737,0.0,0.40052131190896034,False
credit-g,classification,catboost,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.4672924628499882,0.0,0.40052131190896034,False
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,0.44812370788231737,0.0,0.0,True
credit-g,classification,catboost,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,0.4672924628499882,0.0,0.0,True
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,0.4471999385760734,0.0,1.2978027281351388,False
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,test,0.49791859188767296,0.0,1.2978027281351388,False
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,validation,0.4471999385760734,0.0,0.0,True
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m0,0,False,test,0.49791859188767296,0.0,0.0,True
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,validation,0.4471999385760734,0.0,0.0,True
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m1,1,False,test,0.49791859188767296,0.0,0.0,True
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,validation,0.4471999385760734,0.0,0.0,True
credit-g,classification,catboost,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__orthogonal_all__m2,2,False,test,0.49791859188767296,0.0,0.0,True
