dataset,problem_type,model,seed,method,track,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,prediction_reused_due_to_coordinate_identity
phoneme,classification,tabm_d,0,Raw,representation,rbf_reference,-1,True,validation,0.2764863924503944,0.0,0.4467125160153955,False
phoneme,classification,tabm_d,0,Raw,representation,rbf_reference,-1,True,test,0.3352074138510378,0.0,0.4467125160153955,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m0,0,False,validation,0.2855987190324192,0.1028129350133174,0.3500458309426904,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m0,0,False,test,0.3358611736833153,0.08470198498478472,0.3500458309426904,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m1,1,False,validation,0.27590318238927386,0.08653878096285551,0.4030395990703255,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m1,1,False,test,0.3268699692980717,0.08167579479460448,0.4030395990703255,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m2,2,False,validation,0.2635518780480959,0.09441983582075233,0.4299459250178188,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m2,2,False,test,0.34114407929439644,0.09522532124442774,0.4299459250178188,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m3,3,False,validation,0.25240302659999225,0.08308647458138943,0.4192554589826613,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m3,3,False,test,0.3322773274156002,0.08854989957238334,0.4192554589826613,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m4,4,False,validation,0.2900717327889307,0.09292721067372009,0.4040097910910845,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m4,4,False,test,0.3430484161389356,0.08673321998130447,0.4040097910910845,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m5,5,False,validation,0.2945185995772923,0.10602266981823406,0.4465842419303953,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m5,5,False,test,0.34921288783754467,0.0962130981092443,0.4465842419303953,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m6,6,False,validation,0.3024536196468358,0.12888246093935457,0.3622967090923339,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m6,6,False,test,0.32993413876765804,0.11898923653694328,0.3622967090923339,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m7,7,False,validation,0.28737841123194424,0.09624289108949957,0.303938508965075,False
phoneme,classification,tabm_d,0,Raw,representation,orthogonal_all__m7,7,False,test,0.3332634911754602,0.08737971745674024,0.303938508965075,False
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__rbf_reference,-1,True,validation,0.2936773944652649,0.0,0.4391644489951432,False
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__rbf_reference,-1,True,test,0.3440795228233782,0.0,0.4391644489951432,False
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m0,0,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m1,1,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m2,2,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m3,3,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m4,4,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m5,5,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m6,6,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,validation,0.2936773944652649,0.0,0.0,True
phoneme,classification,tabm_d,0,PCA,representation,pca__v1__orthogonal_all__m7,7,False,test,0.3440795228233782,0.0,0.0,True
phoneme,classification,tabm_d,0,GramAnchor,representation,gram_anchor__pivot_tie_v2__rbf_reference,-1,True,validation,0.27649217600655784,0.0,0.378853167174384,False
