dataset,problem_type,model,seed,candidate,features,family,selection_key,selected_blocks,selected_dimensions,invariant_feature_fraction,invariant_dimension_fraction,validation_C,validation_raw_loss,validation_method_loss,input_dimension,raw_input_dimension,fit_seconds,predict_seconds,stage
phoneme,classification,controlled_mlp,0,raw_only,[],BlockGuard-Grouped,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.2913366492337668,0.2913366492337668,40,40,0.0,0.0,
phoneme,classification,controlled_mlp,0,very_safe_gram,"[""V3"",""V2""]",BlockGuard-Grouped,n2__814986be260b9a83,2,16,0.4,0.4,0.07844155288162348,0.2913366492337668,0.31592447907655385,56,40,0.1829411401413381,0.00042242114432156086,
phoneme,classification,controlled_mlp,0,very_safe_plus_safe_gram,"[""V3"",""V2"",""V1""]",BlockGuard-Grouped,n3__480738a2980e7210,3,24,0.6,0.6,0.0828724881752726,0.2913366492337668,0.3173133741078526,64,40,0.12216351297684014,0.00040675816126167774,
phoneme,classification,controlled_mlp,0,all_except_dangerous_gram,"[""V3"",""V2"",""V1"",""V4""]",BlockGuard-Grouped,n4__651b8340fe7db195,4,32,0.8,0.8,-0.029654487634778983,0.2913366492337668,0.2820413271850138,72,40,0.14082383294589818,0.0003898420836776495,
phoneme,classification,controlled_mlp,0,all_gram,"[""V3"",""V2"",""V1"",""V4"",""V5""]",BlockGuard-Grouped,n5__77285454bf7ec26d,5,40,1.0,1.0,-0.0019275199804933546,0.2913366492337668,0.2907324601074951,80,40,0.0,0.0,
phoneme,classification,controlled_mlp,0,stage_0_raw,[],BlockGuard-Greedy,n0__4f53cda18c2baa0c,0,0,0.0,0.0,0.0,0.2913366492337668,0.2913366492337668,40,40,0.0,0.0,0.0
phoneme,classification,controlled_mlp,0,stage_1,"[""V3""]",BlockGuard-Greedy,n1__7bcc5725a781e822,1,8,0.2,0.2,0.0360684227629035,0.2913366492337668,0.3026424458302508,48,40,0.21489284606650472,0.00036369310691952705,1.0
phoneme,classification,controlled_mlp,0,stage_2,"[""V3"",""V1""]",BlockGuard-Greedy,n2__85ee57a88307f0a0,2,16,0.4,0.4,0.06261596928840395,0.2913366492337668,0.31096388431193844,56,40,0.21213204110972583,0.00037231692112982273,2.0
phoneme,classification,controlled_mlp,0,stage_3,"[""V3"",""V1"",""V2""]",BlockGuard-Greedy,n3__480738a2980e7210,3,24,0.6,0.6,0.0828724881752726,0.2913366492337668,0.3173133741078526,64,40,0.12216351297684014,0.00040675816126167774,3.0
phoneme,classification,controlled_mlp,0,stage_4,"[""V3"",""V1"",""V2"",""V4""]",BlockGuard-Greedy,n4__651b8340fe7db195,4,32,0.8,0.8,-0.029654487634778983,0.2913366492337668,0.2820413271850138,72,40,0.14082383294589818,0.0003898420836776495,4.0
phoneme,classification,controlled_mlp,0,stage_5,"[""V3"",""V1"",""V2"",""V4"",""V5""]",BlockGuard-Greedy,n5__77285454bf7ec26d,5,40,1.0,1.0,-0.0019275199804933546,0.2913366492337668,0.2907324601074951,80,40,0.0,0.0,5.0
